id, type, attributes
349, male1, frontbearddark / earring / mohawkdark
350, greenfemale, stringyhair
351, male3, mole / goat / purplehair
352, greenfemale, straighthair / greeneyeshadow
353, female3, bandana / greeneyeshadow
354, male4, policecap / cigarette
355, female4, blacklipstick / goldchain / wildwhitehair / greeneyeshadow
356, male3, stringyhair
357, female1, earring / tasslehat
358, male3, luxuriousbeard / mohawk / lasereyes gold
359, female4, hotlipstick / messyhair
360, green, normalbeardblack / bandana
361, green, mohawkdark
362, green, shadowbeard / peakspike / eyemask
363, male4, shadowbeard / cowboyhat / nerdglasses
364, male4, normalbeardblack / hoodie
365, male3, normalbeard / dorag
366, green, earring / mohawk / eyemask
367, male1, clownhairgreen
368, greenfemale, purplelipstick / frumpyhair
369, male3, luxuriousbeard / earring / fedora
370, male1, rosycheeks / peakspike / cigarette / lasereyes gold
371, greenfemale, frumpyhair
372, ape, capforward
373, blue, earring / headband
374, female1, bandana / clowneyesblue
375, female3, wildhair / greeneyeshadow
376, female3, halfshaved / nerdglasses
377, male4, normalbeard / earring / headband / cigarette / regularshades
378, female1, earring / frumpyhair
379, female3, purplelipstick / earring / mohawkthin
380, female3, blacklipstick / earring / wildhair
381, female3, purplelipstick / knittedcap
382, female3, pilothelmet / cigarette
383, greenfemale, straighthairblonde / greeneyeshadow
384, greenfemale, purplelipstick / bandana / classicshades
385, greenfemale, choker / wildhair
386, green, earring / dorag
387, green, goldchain / capforward / pipe
388, greenfemale, hotlipstick / straighthairblonde / clowneyesblue
389, male3, rosycheeks / dorag
390, female3, messyhair
391, female1, blacklipstick / wildblonde / eyemask
392, green, shavedhead
393, male3, capforward / cigarette / vr
394, female3, earring / pinkwithhat
395, male3, normalbeard / earring / capforward
396, greenfemale, straighthairblonde
397, green, cowboyhat
398, male1, bandana
399, male1, purplehair / lasereyes gold
400, greenfemale, purplelipstick / blondebob / purpleeyeshadow
401, male1, bigbeard / earring / frumpyhair
402, male1, frontbearddark / mohawkthin
403, male1, clownhairgreen / classicshades
404, female3, silverchain / orangeside / cigarette
405, greenfemale, messyhair
406, male1, hoodie / nerdglasses
407, female3, purplelipstick / earring / wildblonde
408, male1, capforward
409, female3, blacklipstick / knittedcap
410, male4, headband / eyepatch
411, female3, blacklipstick / wildhair / clowneyesblue
412, male4, earring / purplehair / classicshades
413, female4, straighthair
414, male3, shadowbeard / earring / tophat
415, skeleton, mole / policecap / lasereyes gold
416, gold, hoodie / cigarette
417, female1, straighthairdark
418, female1, blacklipstick / wildwhitehair / vape
419, greenfemale, earring / bandana
420, male4, earring / crazyhair
421, green, frontbeard / wildhair
422, female3, purplelipstick / earring / darkhair / purpleeyeshadow
423, male1, shavedhead / clowneyesblue
424, male4, muttonchops / hoodie / regularshades
425, female1, blacklipstick / messyhair / hornedrimglasses
426, male1, peakspike / bigshades
427, female1, messyhair
428, female1, purpleeyeshadow
429, gold, policecap
430, female1, purplelipstick / earring / darkhair
431, female1, headband / hornedrimglasses
432, green, earring / messyhair / cigarette
433, green, normalbeard / earring / mohawkthin / regularshades
434, male4, frumpyhair / eyemask
435, green, muttonchops / mohawkthin
436, green, medicalmask
437, male3, frontbearddark / crazyhair / eyepatch
438, greenfemale, mohawkdark
439, green, shadowbeard / knittedcap
440, female1, blacklipstick / blondeshort
441, blue, shadowbeard / stringyhair
442, male3, frontbeard / cowboyhat
443, female1, wildblonde
444, male1, shadowbeard / earring / dorag
445, female1, purplelipstick / earring / pilothelmet / pipe
446, greenfemale, straighthairblonde / cigarette / nerdglasses
447, green, stringyhair / bigshades
448, male3, shavedhead
449, greenfemale, purplelipstick / straighthair / cigarette
450, green, fedora / cigarette / lasereyes gold
451, male1, dorag
452, male4, knittedcap
453, green, buckteeth / cap
454, male1, chinstrap / messyhair / medicalmask
455, male1, luxuriousbeard / tophat / vr
456, green, spots / earring / mohawkthin / nerdglasses
457, male3, chinstrap / knittedcap / 3dglasses
458, male1, normalbeardblack / earring / cap
459, male1, policecap
460, female3, blacklipstick / choker / earring / mohawkdark / classicshades
461, gold, knittedcap
462, male1, capforward / regularshades / clownnose
463, green, bandana / vape
464, female1, hotlipstick / mohawkdark
465, male3, hoodie / pipe / 3dglasses
466, greenfemale, purplelipstick / blondebob
467, male3, frontbeard / purplehair / classicshades
468, male1, peakspike
469, female3, frumpyhair
470, male1, mole / knittedcap / bigshades
471, female1, stringyhair / clowneyesgreen
472, blue, mustache / wildhair / regularshades
473, female3, straighthairdark / greeneyeshadow
474, female1, pigtails / cigarette
475, female4, crazyhair
476, green, muttonchops / mohawk / pipe / nerdglasses
477, greenfemale, purplelipstick / mohawkdark
478, male1, peakspike / cigarette
479, female3, darkhair / regularshades
480, green, chinstrap / earring / tophat
481, female3, wildhair / nerdglasses
482, female3, hotlipstick / tasslehat
483, male3, mustache / stringyhair
484, male1, knittedcap / nerdglasses
485, green, bigbeard / earring / headband / 3dglasses
486, greenfemale, hotlipstick / straighthairblonde
487, male1, crazyhair
488, greenfemale, mole / earring / halfshaved
489, male1, dorag / classicshades
490, female3, earring / pigtails
491, female3, hotlipstick / halfshaved / blueeyeshadow
492, male3, shadowbeard / shavedhead / classicshades
493, female1, purplelipstick / wildblonde
494, male3, frontbearddark / stringyhair
495, gold, crazyhair
496, green, normalbeardblack / earring / cap / lasereyes gold
497, male3, mustache / peakspike
498, female3, earring / blondeshort
499, female3, straighthairblonde / cigarette / lasereyes gold
500, greenfemale, straighthair
501, greenfemale, earring / pilothelmet
502, male3, normalbeard / earring / headband
503, male3, frontbearddark / mohawkdark
504, female1, blacklipstick / earring / pilothelmet
505, green, normalbeard / headband
506, green, messyhair / bigshades
507, greenfemale, hotlipstick / darkhair
508, green, earring / knittedcap
509, female1, wildhair / regularshades
510, green, 
511, green, mole / bandana
512, male1, hoodie / cigarette
513, male3, knittedcap
514, female4, hotlipstick / straighthair / eyepatch
515, male4, normalbeard / mohawkdark
516, green, normalbeard / cowboyhat / 3dglasses
517, green, goat / messyhair / pipe
518, green, earring / mohawk / vr
519, male3, frumpyhair
520, male3, handlebars / hoodie / regularshades
521, female4, blondebob
522, female3, blondebob / nerdglasses
523, gold, stringyhair
524, male1, muttonchops / purplehair
525, greenfemale, hotlipstick / silverchain / earring / straighthairdark
526, male4, mole / vampirehair
527, female3, hotlipstick / straighthairblonde / regularshades
528, female3, mohawk
529, greenfemale, headband
530, greenfemale, blondebob
531, male1, earring / knittedcap
532, female1, mohawkdark
533, male3, spots / peakspike
534, female1, pigtails / vr
535, green, mole / mustache / knittedcap
536, male1, normalbeard / hoodie / hornedrimglasses
537, female1, purplelipstick / pinkwithhat
538, greenfemale, hotlipstick / knittedcap / greeneyeshadow
539, male4, mustache / mohawkdark / vr
540, male3, shadowbeard / mohawk
541, male3, frontbearddark / messyhair / nerdglasses
542, green, goat / stringyhair / medicalmask / regularshades
543, green, mustache / earring / stringyhair
544, green, crazyhair
545, female1, messyhair / vr
546, orc, headband / lasereyes gold
547, greenfemale, earring / knittedcap
548, female1, blacklipstick / frumpyhair
549, male4, 3dglasses
550, green, earring / tophat
551, green, earring / peakspike
552, green, frontbeard / dorag / vr
553, female1, wildhair / 3dglasses
554, female1, purplelipstick / wildhair
555, male1, earring / mohawk / hornedrimglasses
556, blue, shadowbeard / messyhair
557, male1, normalbeardblack / crazyhair / lasereyes gold
558, male4, earring / mohawkdark
559, greenfemale, mohawkthin
560, greenfemale, blacklipstick / blondebob
561, green, tophat / 3dglasses
562, green, rosycheeks / cap / eyemask
563, female3, earring / straighthairdark / pipe / vr
564, male1, bigbeard / mohawk
565, green, shadowbeard
566, greenfemale, wildhair
567, male1, bandana / vr
568, male4, peakspike / vr
569, greenfemale, blacklipstick / knittedcap
570, male4, muttonchops / cap / cigarette
571, female3, purplelipstick / pigtails
572, male1, dorag / clowneyesblue
573, greenfemale, mole / wildwhitehair / vr
574, male3, goat / bandana
575, female3, blacklipstick / frumpyhair
576, female4, blacklipstick / tasslehat
577, green, spots / cap
578, green, frontbearddark / fedora
579, female1, earring / straighthairblonde
580, female1, tasslehat / clowneyesgreen
581, greenfemale, earring / blondeshort / cigarette
582, male1, cap
583, male3, dorag / classicshades
584, female1, hotlipstick / redmohawk
585, female1, earring / pinkwithhat
586, female3, wildhair / purpleeyeshadow
587, male3, earring / dorag
588, female1, blacklipstick / earring / tasslehat / cigarette / bigshades
589, greenfemale, hotlipstick / earring / mohawk / regularshades
590, female1, straighthairdark / classicshades
591, male3, goat / shavedhead / lasereyes gold
592, male1, purplehair / cigarette / eyepatch
593, greenfemale, earring / tiara / nerdglasses
594, male3, knittedcap / eyepatch
595, male1, headband / eyepatch
596, greenfemale, earring / blondebob / medicalmask
597, female1, rosycheeks / messyhair
598, female4, earring / wildwhitehair / purpleeyeshadow
599, green, shadowbeard / mohawkthin
600, female3, purplelipstick / crazyhair
601, female1, blacklipstick / mohawkdark / clowneyesblue
602, female3, hotlipstick / crazyhair
603, female4, blacklipstick / wildblonde / cigarette
604, greenfemale, purplelipstick / wildhair
605, green, mole / earring / clownhairgreen / cigarette / lasereyes gold
606, female3, purplelipstick / mohawkdark / clowneyesgreen
607, green, earring / stringyhair / clowneyesgreen
608, male3, stringyhair / 3dglasses
609, male3, luxuriousbeard / dorag
610, green, earring / capforward / bigshades
611, greenfemale, cap
612, male4, shadowbeard / mohawkdark / vr
613, male3, chinstrap / frumpyhair
614, female4, headband
615, green, wildhair / lasereyes gold
616, female3, hotlipstick / straighthairblonde / classicshades
617, male1, normalbeard / hoodie / lasereyes gold
618, female1, wildhair / clowneyesgreen
619, green, frontbeard / earring / frumpyhair / eyepatch
620, greenfemale, straighthair / hornedrimglasses
621, gold, normalbeard / earring / peakspike / eyepatch
622, male1, bigbeard / earring / frumpyhair / hornedrimglasses
623, gold, normalbeard / fedora / hornedrimglasses
624, blue, earring / crazyhair / bigshades
625, green, normalbeardblack / stringyhair / cigarette / eyepatch
626, green, earring / cowboyhat
627, male4, hoodie
628, female4, purplelipstick / earring / stringyhair / purpleeyeshadow
629, green, regularshades
630, green, handlebars / mohawkthin
631, greenfemale, headband / cigarette / bigshades
632, green, peakspike / clowneyesblue
633, green, spots / earring / cap / regularshades
634, male3, frumpyhair / bigshades
635, alien, bandana / regularshades
636, green, chinstrap / mohawk / classicshades
637, greenfemale, blacklipstick / straighthairdark
638, gold, chinstrap / tophat / vr
639, male1, mole / shadowbeard / peakspike
640, male3, knittedcap / pipe
641, female3, 
642, greenfemale, purplelipstick / pinkwithhat
643, gold, mustache / mohawk
644, male4, earring / mohawkthin
645, male3, goat / earring / cap / hornedrimglasses
646, female1, hotlipstick / earring / mohawkdark / greeneyeshadow
647, female4, bandana
648, male3, bigbeard / peakspike / eyepatch
649, green, mustache / earring / dorag / pipe
650, male1, bigbeard / messyhair
651, male3, dorag
652, male1, normalbeardblack / mohawkdark / vape
653, greenfemale, wildblonde / blueeyeshadow
654, female3, earring / wildwhitehair / clowneyesgreen
655, male3, chinstrap / mohawk
656, gold, earring / mohawkthin
657, green, mustache / cap / cigarette / classicshades
658, female4, blacklipstick / mohawk
659, female4, mole / goldchain / tasslehat
660, female1, purplelipstick / earring / wildhair / purpleeyeshadow
661, male1, goat / knittedcap
662, male4, muttonchops / purplehair
663, male1, frumpyhair
664, female3, tasslehat / hornedrimglasses
665, green, luxuriousbeard / clownhairgreen / regularshades
666, female3, purplelipstick / messyhair
667, greenfemale, hotlipstick / mohawkdark
668, greenfemale, mohawkdark / clowneyesgreen
669, greenfemale, blacklipstick / mohawkthin
670, female1, mohawkthin
671, female1, earring / halfshaved / classicshades
672, female3, purplelipstick / wildblonde
673, green, mohawkdark / bigshades
674, male4, messyhair / nerdglasses
675, female1, mohawkthin / classicshades
676, gold, stringyhair / regularshades
677, female3, bandana / pipe / clowneyesblue
678, male1, earring / dorag
679, green, silverchain / muttonchops / crazyhair
680, male1, frontbearddark / peakspike
681, green, vampirehair
682, greenfemale, blacklipstick / straighthairdark / vape
683, female4, earring / knittedcap / vr
684, greenfemale, purplelipstick / earring / pinkwithhat / clowneyesblue
685, green, mohawk / regularshades
686, gold, chinstrap / earring / shavedhead / pipe
687, male3, muttonchops / peakspike
688, female1, clownhairgreen
689, female1, blacklipstick / mole / mohawkthin / 3dglasses
690, male3, shadowbeard / messyhair / nerdglasses
691, greenfemale, earring / messyhair / hornedrimglasses
692, green, frumpyhair / eyemask
693, male1, earring / bandana / vr
694, male3, earring / messyhair
695, greenfemale, tasslehat / blueeyeshadow
696, female3, purplelipstick / mohawkthin / purpleeyeshadow
697, female1, hotlipstick / messyhair
698, male3, hoodie / regularshades
699, male1, wildhair
700, blue, earring / mohawkdark
701, male3, goat / peakspike
702, male3, muttonchops / dorag
703, male3, peakspike / nerdglasses
704, gold, mustache / capforward
705, green, crazyhair / hornedrimglasses
706, greenfemale, tiara
707, greenfemale, hotlipstick / rosycheeks / straighthair
708, female1, purplelipstick / straighthair
709, male1, shadowbeard / earring / shavedhead
710, green, mustache / earring / headband / regularshades
711, male4, handlebars / cap / lasereyes gold
712, female3, purplelipstick / straighthair
713, male1, peakspike / vr
714, greenfemale, earring / halfshaved / cigarette / greeneyeshadow
715, male3, normalbeard / earring / mohawkthin
716, gold, earring / dorag / eyepatch
717, female3, earring / frumpyhair / greeneyeshadow
718, green, spots / dorag
719, greenfemale, hotlipstick / earring / pinkwithhat
720, male4, earring / capforward
721, female1, blacklipstick / halfshaved
722, male1, normalbeardblack / mohawkdark / bigshades
723, green, wildhair / nerdglasses
724, female3, redmohawk / purpleeyeshadow
725, male4, normalbeard / cap
726, green, earring / mohawkdark / vape / lasereyes gold
727, female1, blacklipstick / darkhair
728, female3, purplelipstick / earring / cap
729, female4, straighthair / purpleeyeshadow
730, male3, shadowbeard / earring / bandana
731, male1, shavedhead / eyemask
732, female3, tasslehat
733, female3, purplelipstick / stringyhair / classicshades
734, green, mohawk / nerdglasses
735, green, mole / earring / cowboyhat / nerdglasses
736, greenfemale, blacklipstick / earring / knittedcap / cigarette
737, female1, earring / stringyhair / clowneyesgreen
738, green, earring
739, greenfemale, bandana
740, green, shadowbeard / mohawk
741, male1, 
742, male3, bandana
743, male1, frontbeard / earring / stringyhair
744, female3, tiara / blueeyeshadow
745, green, mustache / knittedcap / nerdglasses
746, greenfemale, stringyhair / medicalmask
747, green, cap / classicshades
748, male1, shadowbeard / frumpyhair
749, female1, darkhair / greeneyeshadow
750, male1, chinstrap / wildhair / regularshades
751, green, frumpyhair / cigarette / classicshades
752, green, messyhair
753, female4, purplelipstick / wildhair
754, male3, shadowbeard / earring / mohawkdark / nerdglasses
755, female4, blacklipstick / mole / earring / blondebob / cigarette / clowneyesgreen
756, female4, cap / blueeyeshadow
757, female1, purplelipstick / earring / messyhair
758, female1, blacklipstick / cigarette / eyepatch
759, female1, darkhair / purpleeyeshadow
760, female4, blacklipstick / frumpyhair
761, female1, purplelipstick / straighthairdark
762, male4, purplehair
763, green, mohawk
764, green, headband / hornedrimglasses
765, green, goat / hoodie / clowneyesgreen
766, greenfemale, blacklipstick / crazyhair / hornedrimglasses
767, female3, blacklipstick / earring / tasslehat
768, male3, muttonchops / earring / capforward / bigshades
769, green, silverchain / fedora
770, male1, luxuriousbeard / crazyhair / regularshades
771, green, shadowbeard / stringyhair / vr
772, male3, normalbeardblack / hoodie
773, female4, hotlipstick / straighthair / purpleeyeshadow
774, green, shadowbeard / earring / dorag
775, green, peakspike / eyepatch
776, female1, purplelipstick / tasslehat
777, green, spots / chinstrap / earring / mohawk
778, female4, purplelipstick / clownhairgreen / blueeyeshadow
